2584,11,ירושלים ,3000,ירושלים ,100 ,יהודה שפירא ,official ,100
2585,11,ירושלים ,3000,ירושלים ,101 ,יחזקאל ,official ,101
2586,11,ירושלים ,3000,ירושלים ,102 ,הראם ,official ,102
2587,11,ירושלים ,3000,ירושלים ,9521 ,ראם ,synonym of 102 ,102
2588,11,ירושלים ,3000,ירושלים ,9522 ,הראם ,synonym of 102 ,102
2589,11,ירושלים ,3000,ירושלים ,103 ,פישל אהרן ,official ,103
2590,11,ירושלים ,3000,ירושלים ,9523 ,פישל לוי ,synonym of 103 ,103
2591,11,ירושלים ,3000,ירושלים ,9524 ,פישל ,synonym of 103 ,103
2592,11,ירושלים ,3000,ירושלים ,9525 ,פישל אהרון ,synonym of 103 ,103
2593,11,ירושלים ,3000,ירושלים ,9526 ,פישל ישראל ,synonym of 103 ,103
2594,11,ירושלים ,3000,ירושלים ,9527 ,אהרן פישל ,synonym of 103 ,103
2595,11,ירושלים ,3000,ירושלים ,9528 ,אהרון פישל ,synonym of 103 ,103
2596,11,ירושלים ,3000,ירושלים ,9529 ,פישל א בל ג ,synonym of 103 ,103
2597,11,ירושלים ,3000,ירושלים ,104 ,בק ,official ,104
2598,11,ירושלים ,3000,ירושלים ,9530 ,ניסן בק ,synonym of 104 ,104
2599,11,ירושלים ,3000,ירושלים ,9531 ,ניסן הצדיק ,synonym of 104 ,104
2600,11,ירושלים ,3000,ירושלים ,9532 ,בק ניסן ,synonym of 104 ,104
2601,11,ירושלים ,3000,ירושלים ,105 ,זיו יוסף ,official ,105
2602,11,ירושלים ,3000,ירושלים ,9533 ,יוסף זיו ,synonym of 105 ,105
2603,11,ירושלים ,3000,ירושלים ,9534 ,זיו ,synonym of 105 ,105
2604,11,ירושלים ,3000,ירושלים ,106 ,שאול המלך ,official ,106
2605,11,ירושלים ,3000,ירושלים ,9535 ,שאול לוי ,synonym of 106 ,106
2606,11,ירושלים ,3000,ירושלים ,9536 ,המלך שאול ,synonym of 106 ,106
2607,11,ירושלים ,3000,ירושלים ,9537 ,שאול ,synonym of 106 ,106
2608,11,ירושלים ,3000,ירושלים ,107 ,הרב בלוי ,official ,107
2609,11,ירושלים ,3000,ירושלים ,9538 ,בלוי ב משותף ,synonym of 107 ,107
2610,11,ירושלים ,3000,ירושלים ,9539 ,בלויא הרב ,synonym of 107 ,107
2611,11,ירושלים ,3000,ירושלים ,9540 ,בלוי ,synonym of 107 ,107
2612,11,ירושלים ,3000,ירושלים ,9541 ,בלוי הרב ,synonym of 107 ,107
2613,11,ירושלים ,3000,ירושלים ,108 ,אגודת ספורט אליצור ,official ,108
2614,11,ירושלים ,3000,ירושלים ,109 ,אום אל דראג ,official ,109
2615,11,ירושלים ,3000,ירושלים ,9542 ,אום א דראג' ,synonym of 109 ,109
2616,11,ירושלים ,3000,ירושלים ,110 ,אלעשה ,official ,110
