83332,42,פתח תקווה ,98,כפר מלל ,101 ,מוסד יד אסא ,official ,101
83333,42,פתח תקווה ,98,כפר מלל ,9521 ,יד אסא ביח ,synonym of 101 ,101
83334,42,פתח תקווה ,98,כפר מלל ,102 ,הצנחנים ,official ,102
83335,42,פתח תקווה ,98,כפר מלל ,103 ,המיסדים ,official ,103
83336,42,פתח תקווה ,98,כפר מלל ,9522 ,המייסדים ,synonym of 103 ,103
83337,42,פתח תקווה ,98,כפר מלל ,104 ,הלימון ,official ,104
83338,42,פתח תקווה ,98,כפר מלל ,105 ,בן גמלא יהושע ,official ,105
83339,42,פתח תקווה ,98,כפר מלל ,106 ,הפרחים ,official ,106
83340,42,פתח תקווה ,98,כפר מלל ,107 ,דרך השרון ,official ,107
83341,42,פתח תקווה ,98,כפר מלל ,108 ,הזית ,official ,108
83342,42,פתח תקווה ,98,כפר מלל ,109 ,האלונים ,official ,109
83343,42,פתח תקווה ,98,כפר מלל ,110 ,דרך השדות ,official ,110
83344,42,פתח תקווה ,98,כפר מלל ,9523 ,ההדרים ,synonym of 110 ,110
83345,42,פתח תקווה ,98,כפר מלל ,9524 ,הדרים ,synonym of 110 ,110
83346,42,פתח תקווה ,98,כפר מלל ,111 ,עין חי ,official ,111
83347,42,פתח תקווה ,98,כפר מלל ,112 ,הבנים ,official ,112
83348,42,פתח תקווה ,98,כפר מלל ,113 ,שרת ,official ,113
83349,42,פתח תקווה ,98,כפר מלל ,114 ,המנצח ,official ,114
83350,42,פתח תקווה ,98,כפר מלל ,9525 ,מנצח ,synonym of 114 ,114
83351,42,פתח תקווה ,98,כפר מלל ,9000 ,כפר מלל ,official ,9000
83352,42,פתח תקווה ,98,כפר מלל ,9526 ,כפר מלל ,synonym of 9000 ,9000
83353,42,פתח תקווה ,128,גת רימון ,101 ,אילנות ,official ,101
83354,42,פתח תקווה ,128,גת רימון ,9521 ,האילנות ,synonym of 101 ,101
83355,42,פתח תקווה ,128,גת רימון ,102 ,הברוש ,official ,102
83356,42,פתח תקווה ,128,גת רימון ,103 ,התפוז ,official ,103
83357,42,פתח תקווה ,128,גת רימון ,9522 ,תפוז ,synonym of 103 ,103
83358,42,פתח תקווה ,128,גת רימון ,104 ,האקליפטוס ,official ,104
83359,42,פתח תקווה ,128,גת רימון ,9000 ,גת רימון ,official ,9000
83360,42,פתח תקווה ,128,גת רימון ,9523 ,גת רמון ש ,synonym of 9000 ,9000
83361,42,פתח תקווה ,128,גת רימון ,9524 ,המעגל ,synonym of 9000 ,9000
83362,42,פתח תקווה ,128,גת רימון ,9525 ,ש זוגות צעירים ,synonym of 9000 ,9000
83363,42,פתח תקווה ,128,גת רימון ,9526 ,גת רמון ,synonym of 9000 ,9000
83364,42,פתח תקווה ,183,ירקונה ,101 ,דרך הברוש ,official ,101
83365,42,פתח תקווה ,183,ירקונה ,9521 ,הברוש ,synonym of 101 ,101
83366,42,פתח תקווה ,183,ירקונה ,102 ,דרך הפקאן ,official ,102
83367,42,פתח תקווה ,183,ירקונה ,9522 ,הפקאן ,synonym of 102 ,102
83368,42,פתח תקווה ,183,ירקונה ,103 ,דרך מייסדי ירקונה ,official ,103
83369,42,פתח תקווה ,183,ירקונה ,9523 ,מייסדי ירקונה ,synonym of 103 ,103
83370,42,פתח תקווה ,183,ירקונה ,104 ,האלה ,official ,104
83371,42,פתח תקווה ,183,ירקונה ,105 ,הדקל ,official ,105
83372,42,פתח תקווה ,183,ירקונה ,106 ,הערבה ,official ,106
83373,42,פתח תקווה ,183,ירקונה ,107 ,הפרדס ,official ,107
83374,42,פתח תקווה ,183,ירקונה ,108 ,הצאלון ,official ,108
83375,42,פתח תקווה ,183,ירקונה ,110 ,יפה נוף ,official ,110
83376,42,פתח תקווה ,183,ירקונה ,111 ,ירוק עד ,official ,111
83377,42,פתח תקווה ,183,ירקונה ,112 ,שירת השחרור ,official ,112
83378,42,פתח תקווה ,183,ירקונה ,113 ,האקליפטוס ,official ,113
83379,42,פתח תקווה ,183,ירקונה ,114 ,בית העם ,official ,114
83380,42,פתח תקווה ,183,ירקונה ,115 ,סביונים ,official ,115
83381,42,פתח תקווה ,183,ירקונה ,9524 ,הסביונים ,synonym of 115 ,115
83382,42,פתח תקווה ,183,ירקונה ,9000 ,ירקונה ,official ,9000
83383,42,פתח תקווה ,183,ירקונה ,9525 ,מושב ירקונה ,synonym of 9000 ,9000
83384,42,פתח תקווה ,184,רמת הכובש ,9000 ,רמת הכובש ,official ,9000
83385,42,פתח תקווה ,198,צופית ,101 ,האילנות ,official ,101
