117816,52,רמת גן ,2400,אור יהודה ,101 ,שד' יצחק שמיר ,official ,101
117817,52,רמת גן ,2400,אור יהודה ,9521 ,יצחק שמיר ,synonym of 101 ,101
117818,52,רמת גן ,2400,אור יהודה ,9522 ,שד' שמיר ,synonym of 101 ,101
117819,52,רמת גן ,2400,אור יהודה ,9523 ,שדרת יצחק שמיר ,synonym of 101 ,101
117820,52,רמת גן ,2400,אור יהודה ,9524 ,שדרות יצחק שמיר ,synonym of 101 ,101
117821,52,רמת גן ,2400,אור יהודה ,9525 ,שמיר יצחק ,synonym of 101 ,101
117822,52,רמת גן ,2400,אור יהודה ,102 ,כצנלסון ,official ,102
117823,52,רמת גן ,2400,אור יהודה ,103 ,עבודי יחזקאל ,official ,103
117824,52,רמת גן ,2400,אור יהודה ,9526 ,יחזקאל עבודי ,synonym of 103 ,103
117825,52,רמת גן ,2400,אור יהודה ,9527 ,עבודי ,synonym of 103 ,103
117826,52,רמת גן ,2400,אור יהודה ,104 ,העצמאות ,official ,104
117827,52,רמת גן ,2400,אור יהודה ,9528 ,שדרות העצמאות ,synonym of 104 ,104
117828,52,רמת גן ,2400,אור יהודה ,9529 ,עצמאות ,synonym of 104 ,104
117829,52,רמת גן ,2400,אור יהודה ,9530 ,שד העצמאות ,synonym of 104 ,104
117830,52,רמת גן ,2400,אור יהודה ,9531 ,העצמאות שד ,synonym of 104 ,104
117831,52,רמת גן ,2400,אור יהודה ,9532 ,העצמאות שדרות ,synonym of 104 ,104
117832,52,רמת גן ,2400,אור יהודה ,105 ,דגניה ,official ,105
117833,52,רמת גן ,2400,אור יהודה ,9533 ,הדגניה ,synonym of 105 ,105
117834,52,רמת גן ,2400,אור יהודה ,9534 ,אור יהודה ז ,synonym of 105 ,105
117835,52,רמת גן ,2400,אור יהודה ,106 ,אלעזר דוד ,official ,106
117836,52,רמת גן ,2400,אור יהודה ,9535 ,דוד אלעזר ,synonym of 106 ,106
117837,52,רמת גן ,2400,אור יהודה ,107 ,יוסף חיים ,official ,107
117838,52,רמת גן ,2400,אור יהודה ,108 ,אסתר המלכה ,official ,108
117839,52,רמת גן ,2400,אור יהודה ,109 ,חטיבת אלכסנדרוני ,official ,109
117840,52,רמת גן ,2400,אור יהודה ,9536 ,המלכים ,synonym of 109 ,109
117841,52,רמת גן ,2400,אור יהודה ,9537 ,אלכסנדרוני ,synonym of 109 ,109
117842,52,רמת גן ,2400,אור יהודה ,110 ,שטרן יאיר ,official ,110
117843,52,רמת גן ,2400,אור יהודה ,9538 ,מעון נוה נוער ,synonym of 110 ,110
117844,52,רמת גן ,2400,אור יהודה ,9539 ,נוה נוער ,synonym of 110 ,110
117845,52,רמת גן ,2400,אור יהודה ,9540 ,שטרן ,synonym of 110 ,110
117846,52,רמת גן ,2400,אור יהודה ,9541 ,יאיר שטרן ,synonym of 110 ,110
117847,52,רמת גן ,2400,אור יהודה ,111 ,הכלנית ,official ,111
117848,52,רמת גן ,2400,אור יהודה ,9542 ,כלנית ,synonym of 111 ,111
117849,52,רמת גן ,2400,אור יהודה ,9543 ,הכלניות ,synonym of 111 ,111
117850,52,רמת גן ,2400,אור יהודה ,112 ,אדם יקותיאל ,official ,112
117851,52,רמת גן ,2400,אור יהודה ,9544 ,יקותיאל אדם ,synonym of 112 ,112
117852,52,רמת גן ,2400,אור יהודה ,9545 ,נרקיס ,synonym of 112 ,112
117853,52,רמת גן ,2400,אור יהודה ,9546 ,הנרקיס ,synonym of 112 ,112
117854,52,רמת גן ,2400,אור יהודה ,113 ,הורד ,official ,113
117855,52,רמת גן ,2400,אור יהודה ,114 ,החצב ,official ,114
117856,52,רמת גן ,2400,אור יהודה ,9547 ,חצב ,synonym of 114 ,114
117857,52,רמת גן ,2400,אור יהודה ,115 ,איריס ,official ,115
117858,52,רמת גן ,2400,אור יהודה ,9548 ,האיריס ,synonym of 115 ,115
117859,52,רמת גן ,2400,אור יהודה ,116 ,הסייפן ,official ,116
117860,52,רמת גן ,2400,אור יהודה ,117 ,השלהבת ,official ,117
117861,52,רמת גן ,2400,אור יהודה ,9549 ,שלהבת ,synonym of 117 ,117
117862,52,רמת גן ,2400,אור יהודה ,118 ,סביון ,official ,118
117863,52,רמת גן ,2400,אור יהודה ,9550 ,הסביון ,synonym of 118 ,118
117864,52,רמת גן ,2400,אור יהודה ,119 ,הערמון ,official ,119
117865,52,רמת גן ,2400,אור יהודה ,9551 ,גני סביון ,synonym of 119 ,119
117866,52,רמת גן ,2400,אור יהודה ,9552 ,ערמון ,synonym of 119 ,119
117867,52,רמת גן ,2400,אור יהודה ,120 ,הרדוף ,official ,120
117868,52,רמת גן ,2400,אור יהודה ,9553 ,ההרדוף ,synonym of 120 ,120
117869,52,רמת גן ,2400,אור יהודה ,121 ,אבנר ,official ,121
117870,52,רמת גן ,2400,אור יהודה ,9554 ,הדס ,synonym of 121 ,121
117871,52,רמת גן ,2400,אור יהודה ,9555 ,ההדס ,synonym of 121 ,121
117872,52,רמת גן ,2400,אור יהודה ,9556 ,אבנר לבייב ,synonym of 121 ,121
117873,52,רמת גן ,2400,אור יהודה ,9557 ,לבייב אבנר ,synonym of 121 ,121
117874,52,רמת גן ,2400,אור יהודה ,9558 ,לבייב ,synonym of 121 ,121
117875,52,רמת גן ,2400,אור יהודה ,122 ,מיכאל ,official ,122
117876,52,רמת גן ,2400,אור יהודה ,9559 ,מיכאל טולמסוב ,synonym of 122 ,122
117877,52,רמת גן ,2400,אור יהודה ,9560 ,טולמסוב מיכאל ,synonym of 122 ,122
117878,52,רמת גן ,2400,אור יהודה ,9561 ,טולמסוב ,synonym of 122 ,122
117879,52,רמת גן ,2400,אור יהודה ,123 ,השקמה ,official ,123
117880,52,רמת גן ,2400,אור יהודה ,9562 ,השיקמה ,synonym of 123 ,123
117881,52,רמת גן ,2400,אור יהודה ,124 ,הרותם ,official ,124
117882,52,רמת גן ,2400,אור יהודה ,125 ,אופירה ,official ,125
117883,52,רמת גן ,2400,אור יהודה ,126 ,עין גדי ,official ,126
117884,52,רמת גן ,2400,אור יהודה ,127 ,עין יהב ,official ,127
117885,52,רמת גן ,2400,אור יהודה ,128 ,השיטה ,official ,128
117886,52,רמת גן ,2400,אור יהודה ,129 ,ז'בוטינסקי ,official ,129
117887,52,רמת גן ,2400,אור יהודה ,9563 ,זבוטינסקי ,synonym of 129 ,129
117888,52,רמת גן ,2400,אור יהודה ,130 ,ירושלים ,official ,130
117889,52,רמת גן ,2400,אור יהודה ,131 ,היסמין ,official ,131
117890,52,רמת גן ,2400,אור יהודה ,9564 ,סמ היסמין ,synonym of 131 ,131
117891,52,רמת גן ,2400,אור יהודה ,132 ,הרקפת ,official ,132
117892,52,רמת גן ,2400,אור יהודה ,133 ,החבצלת ,official ,133
117893,52,רמת גן ,2400,אור יהודה ,134 ,סמטת במעלה ,official ,134
117894,52,רמת גן ,2400,אור יהודה ,9565 ,במעלה ,synonym of 134 ,134
117895,52,רמת גן ,2400,אור יהודה ,9566 ,במעלה סמ ,synonym of 134 ,134
117896,52,רמת גן ,2400,אור יהודה ,9567 ,במעלה סמטה ,synonym of 134 ,134
117897,52,רמת גן ,2400,אור יהודה ,9568 ,סמ במעלה ,synonym of 134 ,134
117898,52,רמת גן ,2400,אור יהודה ,135 ,סעיד משיח ,official ,135
117899,52,רמת גן ,2400,אור יהודה ,9569 ,משיח סעיד ,synonym of 135 ,135
117900,52,רמת גן ,2400,אור יהודה ,9570 ,השוק ,synonym of 135 ,135
117901,52,רמת גן ,2400,אור יהודה ,136 ,אהובה עוזרי ,official ,136
117902,52,רמת גן ,2400,אור יהודה ,137 ,שושנה דמארי ,official ,137
117903,52,רמת גן ,2400,אור יהודה ,138 ,עופרה חזה ,official ,138
117904,52,רמת גן ,2400,אור יהודה ,9571 ,עפרה חזה ,synonym of 138 ,138
117905,52,רמת גן ,2400,אור יהודה ,139 ,רונית אלקבץ ,official ,139
117906,52,רמת גן ,2400,אור יהודה ,140 ,רחל המשוררת ,official ,140
117907,52,רמת גן ,2400,אור יהודה ,141 ,הנרייטה סאלד ,official ,141
117908,52,רמת גן ,2400,אור יהודה ,9572 ,הנריטה סאלד ,synonym of 141 ,141
117909,52,רמת גן ,2400,אור יהודה ,9573 ,סאלד ,synonym of 141 ,141
117910,52,רמת גן ,2400,אור יהודה ,9574 ,הנרייטה סולד ,synonym of 141 ,141
117911,52,רמת גן ,2400,אור יהודה ,142 ,יפה ירקוני ,official ,142
117912,52,רמת גן ,2400,אור יהודה ,143 ,נעמי שמר ,official ,143
117913,52,רמת גן ,2400,אור יהודה ,144 ,מניה שוחט ,official ,144
117914,52,רמת גן ,2400,אור יהודה ,145 ,ארבע אמהות ,official ,145
117915,52,רמת גן ,2400,אור יהודה ,146 ,שרה אהרונסון ,official ,146
117916,52,רמת גן ,2400,אור יהודה ,147 ,דבורה הנביאה ,official ,147
117917,52,רמת גן ,2400,אור יהודה ,148 ,חנה מרון ,official ,148
117918,52,רמת גן ,2400,אור יהודה ,149 ,לאה גולדברג ,official ,149
117919,52,רמת גן ,2400,אור יהודה ,150 ,יצחק רבין ,official ,150
117920,52,רמת גן ,2400,אור יהודה ,9575 ,שד יצחק רבין ,synonym of 150 ,150
117921,52,רמת גן ,2400,אור יהודה ,9576 ,שד רבין ,synonym of 150 ,150
117922,52,רמת גן ,2400,אור יהודה ,9577 ,רבין יצחק ,synonym of 150 ,150
117923,52,רמת גן ,2400,אור יהודה ,9578 ,רבין ,synonym of 150 ,150
