107573,51,תל אביב ,267,כפר שמריהו ,101 ,החורש ,official ,101
107574,51,תל אביב ,267,כפר שמריהו ,9521 ,מרכז מסחרי ,synonym of 101 ,101
107575,51,תל אביב ,267,כפר שמריהו ,9522 ,החורש סמ ,synonym of 101 ,101
107576,51,תל אביב ,267,כפר שמריהו ,9523 ,המרכז המסחרי ,synonym of 101 ,101
107577,51,תל אביב ,267,כפר שמריהו ,9524 ,סמ החורש ,synonym of 101 ,101
107578,51,תל אביב ,267,כפר שמריהו ,9525 ,החורש סמטה ,synonym of 101 ,101
107579,51,תל אביב ,267,כפר שמריהו ,102 ,המעפילים ,official ,102
107580,51,תל אביב ,267,כפר שמריהו ,103 ,נורדאו ,official ,103
107581,51,תל אביב ,267,כפר שמריהו ,104 ,הורדים ,official ,104
107582,51,תל אביב ,267,כפר שמריהו ,105 ,הזורע ,official ,105
107583,51,תל אביב ,267,כפר שמריהו ,106 ,דרך השדות ,official ,106
107584,51,תל אביב ,267,כפר שמריהו ,9526 ,השדות ,synonym of 106 ,106
107585,51,תל אביב ,267,כפר שמריהו ,107 ,קרן היסוד ,official ,107
107586,51,תל אביב ,267,כפר שמריהו ,108 ,דרך הבאר ,official ,108
107587,51,תל אביב ,267,כפר שמריהו ,9527 ,הבאר דרך ,synonym of 108 ,108
107588,51,תל אביב ,267,כפר שמריהו ,9528 ,הבאר ,synonym of 108 ,108
107589,51,תל אביב ,267,כפר שמריהו ,9529 ,שביל הבאר ,synonym of 108 ,108
107590,51,תל אביב ,267,כפר שמריהו ,109 ,דרך הגנים ,official ,109
107591,51,תל אביב ,267,כפר שמריהו ,9530 ,הגנים דרך ,synonym of 109 ,109
107592,51,תל אביב ,267,כפר שמריהו ,9531 ,הגנים ,synonym of 109 ,109
107593,51,תל אביב ,267,כפר שמריהו ,110 ,הנרקיסים ,official ,110
107594,51,תל אביב ,267,כפר שמריהו ,111 ,האילנות ,official ,111
107595,51,תל אביב ,267,כפר שמריהו ,9532 ,אילנות ,synonym of 111 ,111
107596,51,תל אביב ,267,כפר שמריהו ,112 ,האורנים ,official ,112
107597,51,תל אביב ,267,כפר שמריהו ,9533 ,אורנים ,synonym of 112 ,112
107598,51,תל אביב ,267,כפר שמריהו ,9534 ,הארנים ,synonym of 112 ,112
107599,51,תל אביב ,267,כפר שמריהו ,113 ,החבצלת ,official ,113
107600,51,תל אביב ,267,כפר שמריהו ,9535 ,חבצלת ,synonym of 113 ,113
107601,51,תל אביב ,267,כפר שמריהו ,114 ,נוה אביב ,official ,114
107602,51,תל אביב ,267,כפר שמריהו ,9536 ,מעון נ אביב ,synonym of 114 ,114
107603,51,תל אביב ,267,כפר שמריהו ,9537 ,נ אביב ב אב ,synonym of 114 ,114
107604,51,תל אביב ,267,כפר שמריהו ,9538 ,מועדון נוה אביב ,synonym of 114 ,114
107605,51,תל אביב ,267,כפר שמריהו ,9539 ,נ אביב מועד ,synonym of 114 ,114
107606,51,תל אביב ,267,כפר שמריהו ,9540 ,נוה אביב מועדון ,synonym of 114 ,114
107607,51,תל אביב ,267,כפר שמריהו ,9541 ,נווה אביב ,synonym of 114 ,114
107608,51,תל אביב ,267,כפר שמריהו ,115 ,הקוצר ,official ,115
107609,51,תל אביב ,267,כפר שמריהו ,116 ,דרך אביב ,official ,116
107610,51,תל אביב ,267,כפר שמריהו ,9542 ,האביב דרך ,synonym of 116 ,116
107611,51,תל אביב ,267,כפר שמריהו ,9543 ,האביב ,synonym of 116 ,116
107612,51,תל אביב ,267,כפר שמריהו ,9544 ,דרך האביב ,synonym of 116 ,116
